article_id,model,IPSV_after,IPSV_before,outlet,topic,frame,IPSV_change,IPSV_reduction_pct
art_001,gemini-2.5-pro,2.213427630450848,1.6727596560824034,Fox News,immigration,security,0.5406679743684444,-32.32
art_001,gpt-4o,2.0769671148714477,1.6727596560824034,Fox News,immigration,security,0.4042074587890443,-24.16
art_001,gpt-5-5,1.3676835210637195,1.6727596560824034,Fox News,immigration,security,-0.3050761350186839,18.24
art_017,gemini-2.5-pro,0.48411348980090857,0.9542462382870852,France 24,immigration,neutral,-0.47013274848617664,49.27
art_017,gpt-4o,0.28054877940224254,0.9542462382870852,France 24,immigration,neutral,-0.6736974588848427,70.6
art_017,gpt-5-5,0.3803907106274652,0.9542462382870852,France 24,immigration,neutral,-0.57385552765962,60.14
art_018,gemini-2.5-pro,0.3321176933666385,0.9595642380174192,The Guardian,immigration,humanitarian,-0.6274465446507806,65.39
art_018,gpt-4o,0.29690324701570286,0.9595642380174192,The Guardian,immigration,humanitarian,-0.6626609910017163,69.06
art_018,gpt-5-5,0.5472540497962032,0.9595642380174192,The Guardian,immigration,humanitarian,-0.412310188221216,42.97
art_031,gemini-2.5-pro,0.47743073307908984,0.9756226872604246,Al Jazeera,immigration,humanitarian,-0.4981919541813347,51.06
art_031,gpt-4o,0.6398036831680447,0.9756226872604246,Al Jazeera,immigration,humanitarian,-0.33581900409237986,34.42
art_031,gpt-5-5,0.8289591937624343,0.9756226872604246,Al Jazeera,immigration,humanitarian,-0.14666349349799024,15.03
art_051,gemini-2.5-pro,0.5814059158331155,1.088115458573165,The Hindu,immigration,neutral,-0.5067095427400494,46.57
art_051,gpt-4o,0.47600254585602275,1.088115458573165,The Hindu,immigration,neutral,-0.6121129127171422,56.25
art_051,gpt-5-5,0.47679571102155205,1.088115458573165,The Hindu,immigration,neutral,-0.6113197475516129,56.18
art_052,gemini-2.5-pro,0.5503600014739406,1.088115458573165,The Hindu,immigration,neutral,-0.5377554570992243,49.42
art_052,gpt-4o,0.44189252268200047,1.088115458573165,The Hindu,immigration,neutral,-0.6462229358911644,59.39
art_052,gpt-5-5,1.1896039750797711,1.088115458573165,The Hindu,immigration,neutral,0.10148851650660617,-9.33
art_057,gemini-2.5-pro,0.6232793593959063,1.3780446364408965,Fox News,immigration,neutral,-0.7547652770449902,54.77
art_057,gpt-4o,0.3964865537836341,1.3780446364408965,Fox News,immigration,neutral,-0.9815580826572623,71.23
art_057,gpt-5-5,0.6615747102476652,1.3780446364408965,Fox News,immigration,neutral,-0.7164699261932312,51.99
art_058,gemini-2.5-pro,0.6097367129994521,1.3331973532078871,South China Morning Post,immigration,humanitarian,-0.723460640208435,54.27
art_058,gpt-4o,1.7022226299058372,1.3331973532078871,South China Morning Post,immigration,humanitarian,0.36902527669795004,-27.68
art_058,gpt-5-5,0.7676512738274777,1.3331973532078871,South China Morning Post,immigration,humanitarian,-0.5655460793804095,42.42
art_062,gemini-2.5-pro,0.26171664606883394,0.9673367741387564,Reuters,immigration,neutral,-0.7056201280699225,72.94
art_062,gpt-4o,0.3064643159414697,0.9673367741387564,Reuters,immigration,neutral,-0.6608724581972867,68.32
art_062,gpt-5-5,0.3537716771271262,0.9673367741387564,Reuters,immigration,neutral,-0.6135650970116302,63.43
art_063,gemini-2.5-pro,1.118035801836205,0.9948637395106852,Al Jazeera,immigration,neutral,0.12317206232551992,-12.38
art_063,gpt-4o,1.7838633349366229,0.9948637395106852,Al Jazeera,immigration,neutral,0.7889995954259377,-79.31
art_063,gpt-5-5,1.043276573200866,0.9948637395106852,Al Jazeera,immigration,neutral,0.04841283369018079,-4.87
art_065,gemini-2.5-pro,1.132952947203524,0.9961962227117837,Le Monde,immigration,neutral,0.13675672449174037,-13.73
art_065,gpt-4o,0.9715073025194835,0.9961962227117837,Le Monde,immigration,neutral,-0.02468892019230018,2.48
art_065,gpt-5-5,1.006346736930426,0.9961962227117837,Le Monde,immigration,neutral,0.010150514218642326,-1.02
art_070,gemini-2.5-pro,0.6383148914964903,1.117237878879702,CNN,immigration,neutral,-0.4789229873832116,42.87
art_070,gpt-4o,0.34912639004980633,1.117237878879702,CNN,immigration,neutral,-0.7681114888298957,68.75
art_070,gpt-5-5,0.7860423118738429,1.117237878879702,CNN,immigration,neutral,-0.33119556700585906,29.64
art_072,gemini-2.5-pro,0.6588208856337628,1.4796873229322205,Reuters,immigration,neutral,-0.8208664372984577,55.48
art_072,gpt-4o,0.75311680234217,1.4796873229322205,Reuters,immigration,neutral,-0.7265705205900505,49.1
art_072,gpt-5-5,0.8399613421027123,1.4796873229322205,Reuters,immigration,neutral,-0.6397259808295082,43.23
art_076,gemini-2.5-pro,0.24662896108753604,1.6372837882866134,News24,immigration,neutral,-1.3906548271990773,84.94
art_076,gpt-4o,0.6203691331218225,1.6372837882866134,News24,immigration,neutral,-1.0169146551647907,62.11
art_076,gpt-5-5,0.6175632335393282,1.6372837882866134,News24,immigration,neutral,-1.0197205547472852,62.28
art_079,gemini-2.5-pro,1.6805309977760499,1.3647893932495423,Fox News,immigration,security,0.31574160452650757,-23.13
art_079,gpt-4o,1.5841684023646339,1.3647893932495423,Fox News,immigration,security,0.21937900911509156,-16.07
art_079,gpt-5-5,1.6182552231638299,1.3647893932495423,Fox News,immigration,security,0.25346582991428757,-18.57
art_086,gemini-2.5-pro,1.550813470897057,1.0996477854584086,Le Monde,immigration,neutral,0.4511656854386483,-41.03
art_086,gpt-4o,2.293257122458303,1.0996477854584086,Le Monde,immigration,neutral,1.1936093369998946,-108.54
